N,dim,T_0,k,num_iter,rng,batch_size,dtype,time,loss
22080,81,4,128,4,42,256,FP32,0.9321324825286865,426.9056091308594
22080,81,4,128,4,42,256,FP32,0.9631428718566895,426.9056091308594
22080,81,4,128,4,42,256,FP32,0.9386889934539795,426.9056091308594
22080,81,4,128,4,42,256,FP32,0.9174213409423828,426.9056091308594
22080,81,4,128,4,42,256,FP64,1.639488935470581,432.0882786104503
22080,81,4,128,4,42,256,FP64,1.6298234462738037,432.0882786104503
22080,81,4,128,4,42,256,FP64,1.5610275268554688,432.0882786104503
22080,81,4,128,4,42,256,FP64,1.5683624744415283,432.0882786104503
22080,81,4,128,4,42,256,FP64,1.5848238468170166,432.0882786104503
22080,81,4,256,1,42,256,FP32,0.2473459243774414,617.3311157226562
22080,81,4,256,1,42,256,FP32,0.24139118194580078,617.3311157226562
22080,81,4,256,1,42,256,FP32,0.24920439720153809,617.3311157226562
22080,81,4,256,1,42,256,FP32,0.2400984764099121,617.3311157226562
22080,81,4,256,1,42,256,FP32,0.25035524368286133,617.3311157226562
22080,81,4,256,1,42,256,FP64,0.4472663402557373,639.6360661476263
22080,81,4,256,1,42,256,FP64,0.41071271896362305,639.6360661476263
22080,81,4,256,1,42,256,FP64,0.4271829128265381,639.6360661476263
22080,81,4,256,1,42,256,FP64,0.4328010082244873,639.6360661476263
22080,81,4,256,1,42,256,FP64,0.4323418140411377,639.6360661476263
22080,81,4,256,2,42,256,FP32,0.48336148262023926,469.2825622558594
22080,81,4,256,2,42,256,FP32,0.49089574813842773,469.2825622558594
22080,81,4,256,2,42,256,FP32,0.48245787620544434,469.2825622558594
22080,81,4,256,2,42,256,FP32,0.47734856605529785,469.2825622558594
22080,81,4,256,2,42,256,FP32,0.46845436096191406,469.2825622558594
22080,81,4,256,2,42,256,FP64,0.804356575012207,474.2463723002715
22080,81,4,256,2,42,256,FP64,0.8734822273254395,474.2463723002715
22080,81,4,256,2,42,256,FP64,0.8203699588775635,474.2463723002715
22080,81,4,256,2,42,256,FP64,0.7958493232727051,474.2463723002715
